"20318"|"20875","1569","13741","11209"
"0"|"11839","19476"
"20520"|"11995","16139"
"5051"|"11588","17848","15934","18519","4268"
"2600"|"10053","10737"
"10197"|"10434","16888","3986","2426"
"3393"|"5119","1843","9622","10157","9376"
"2671"|"9926","2514","5477","21937"
"15509"|"17744","19240","13786"
"7882"|"1059","13894","10382","14576"
"11636"|"21423","284","10562"
"16503"|"20866","17337","21839","13635"
"1993"|"4620","9808","13512"
"1934"|"21889","11546","10573","15037","4884","7274"
"15555"|"11835","4743"
"7308"|"17947","14382","9917","11326","8216"
"12772"|"9307","10916","20902"
"4285"|"2","16745","17074","17647","19162","16758"
"6164"|"18752","10083","5846","15403","11444"
"17661"|"15497","13470"
"6173"|"15533","55","20406","7104"
"12568"|"1190","5057","9361","16671","19144","13615"
"18406"|"388","3776","2500"
"11004"|"11452","14095","2994"
"5857"|"6764","21437","6459"
"20419"|"8061","647","8693","16718"
"7236"|"1881","15921","2177","5840"
"2596"|"1010","9296","8349","5490","3738"
"16934"|"18885","17483","8002","21402","21075"
"3558"|"5741","8549"
"4128"|"4148","7091","9840","19653","14788"
"8372"|"21002","14532"
"108"|"15718","2724","11914","4689"
"749"|"19589","1682","42","16121"
"19065"|"21161","941","17318","5906","8275","938"
"8727"|"3382","13072","9512","3014","14677","533"
"5923"|"9499","2542","17956","17485","18102"
"8348"|"15344","408","14307","18102","8397","8141"
"735"|"13203","1498","13737"
"10139"|"18084","15689"
"351"|"16082","10939","13214"
"10085"|"8646","8542","3034","14712","829","19543"
"4219"|"3551","12355"
"3650"|"11609","8379"
"4695"|"2954","19506","7758","3838"
"7675"|"3562","8482","16086","2999","2897","1599"
"9225"|"10979","18470","13901","8427","12568"
"20566"|"12869","18519","1955"
"6702"|"8186","19580"
"21681"|"2625","6405","536"
"2492"|"7484","9904","769","10755"
"13804"|"19764","20192","15276","2077","14428"
"4945"|"20983","10634","7027","18070"
"6815"|"14218","12030","296"
"9023"|"5527","8215","2367","12802"
"16441"|"11772","2739","8057"
"8855"|"20541","3603","2403","9700"
"10160"|"5877","21056","7276"
"20594"|"19037","8367","5962"
"14634"|"585","21392"
"7867"|"13570","11831","8958","21758"
"1186"|"16420","18756"
"19352"|"9000","11812","6836","7449"
"16733"|"15822","5968"
"3756"|"2353","5150"
"3520"|"15882","9127","1600"
"7092"|"14323","13845","7949","11593","9462"
"10870"|"109","6123","19355","10134"
"14495"|"14736","13930","20311","13644"
"16359"|"1108","16844","7049"
"13860"|"11209","16089","3728","14914","16276"
"2515"|"10363","20669"
"12839"|"18398","16559"
"510"|"3858","1463","9301","9342","7054","17241"
"9994"|"10031","8519","17535"
"18"|"13445","1604","5459","1601"
"878"|"8705","13320"
"12415"|"12415","13756","12198"
"3124"|"1427","19940","4847","12074","16545","6445"
"21028"|"3554","19756","13427","3416","5975"
"20275"|"2971","2792","14977","12761","6109"
"10281"|"11671","21613","5671"
"931"|"14312","10922","2163"
"7552"|"17314","4073","15665"
"13516"|"10809","8672","20787","16439","19740"
"18604"|"18934","6537","8511","20748","17704"
"17042"|"9067","2018"
"487"|"1331","5535","13711","328","20372","21005"
"15089"|"12679","4953","16916","14923","21046"
"9418"|"5382","21992","21274","16006"
"19747"|"2763","11827","12860","6242","14421","12095"
"7403"|"2803","17338","1173","16763","13648"
"20496"|"14335","2206","9973","248","10922","14839"
"11966"|"7617","10211","1082","12459","2133"
"1907"|"3770","6838","14310","13560","2053","12998"
"19964"|"21797","11823","16272","13345"
"11899"|"12163","16170","8189","1786","21161","1455"
"14508"|"15873","8663","764","12914","19168","18534"
"4727"|"17567","19626","3986"
"2059"|"3911","18195","4740","18906","11208"
"17705"|"245","11778","13912","10231"
"8946"|"4696","8957","13514","4970","20247","19451"
"2811"|"3917","4134","15100","14495","5600","17423"
"8241"|"19786","14128","3438","5241"
"8051"|"12684","1012","462","4774","14442","5772"
"18075"|"1170","1037","7276","10607","4133","15929"
"9195"|"11086","13208","11361"
"10611"|"6508","13586","11526","20783"
"5023"|"4376","14970"
"1904"|"2805","7360"
"7795"|"18817","11578","6424","15157","9132"
"5066"|"9917","9729","5277","10097","3412","4775"
"5865"|"5822","7107"
"17021"|"16710","18019","14746","862"
"13067"|"17190","13126"
"5678"|"1121","1809","6309","5106"
"12236"|"15918","11404","12452","12953","3384"
"17662"|"4594","17549","21735","6563","15871"
"20664"|"15201","7446","4585","10477"
"6338"|"13998","16300","6974","8111","13478"
"5659"|"3669","10310","1687"
"9911"|"11324","20783","21069","329"
